filename,song_id,genre,chunk_index,start_s,end_s,duration_s,num_frames,zcr_mean,zcr_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,contrast_0_mean,contrast_0_std,contrast_1_mean,contrast_1_std,contrast_2_mean,contrast_2_std,contrast_3_mean,contrast_3_std,contrast_4_mean,contrast_4_std,contrast_5_mean,contrast_5_std,contrast_6_mean,contrast_6_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_flux_mean,spectral_flux_std
"Makara Divya Jyothi ｜ Narasimha Nayak, K.J Yesudas, Dr.Rajkumar, Veeramani Raju｜ Ayyappa Swamy Songs.wav",b927fcc0789a4ec0bb9ef7cccf30c05c,Devotional,5,250.0,300.0,50,52,0.09729491280756732,0.049799016042875,0.15375532,0.064130664,2085.2073760705375,732.2046437521293,2214.676722955658,515.6611547462587,4248.074111300923,1693.8477343574598,22.43999680400878,5.2217917952828685,16.568444186524015,4.673215245361164,19.723879172953918,4.647503564057701,18.61578629166951,3.645126133499434,17.522558312337022,3.251567062092181,20.001942241063226,3.897154413689981,22.74429904283523,4.753702941942406,-107.62635,86.13626,103.419945,33.619713,-13.270604,26.488297,25.001907,20.52775,-6.3577094,17.333607,-7.699749,12.400935,-5.0542574,11.175668,0.052126292,11.232454,-19.484749,9.380021,2.546263,10.041507,-1.3813698,11.050115,-3.3647327,8.72544,-8.839564,7.553394,69.39168,33.2723
"Makara Divya Jyothi ｜ Narasimha Nayak, K.J Yesudas, Dr.Rajkumar, Veeramani Raju｜ Ayyappa Swamy Songs.wav",b927fcc0789a4ec0bb9ef7cccf30c05c,Devotional,6,300.0,350.0,50,52,0.09434845055710306,0.0673545171098772,0.07954822,0.042257454,1824.605611703526,858.633311185188,1818.4347736544812,650.757831208195,3570.6329430710307,1640.7960891288885,21.680902090387086,5.130526024514431,17.57517735081289,4.997042427711658,20.634339967646955,4.800421355030057,20.080209249887474,3.7170573858477134,19.79369216119669,3.380751403218971,21.952790165163833,4.531861604160786,22.692878360470967,3.8746807103495056,-207.45172,115.29752,97.689606,45.812584,-25.555086,22.561954,39.803913,18.513077,5.7292714,19.868557,3.876407,12.431862,-8.68434,11.14249,10.541105,12.680332,-15.315061,13.758516,0.32735166,10.109698,2.2030118,10.695805,-2.4461775,9.284547,-0.94924086,9.191717,27.814722,18.329483
"Makara Divya Jyothi ｜ Narasimha Nayak, K.J Yesudas, Dr.Rajkumar, Veeramani Raju｜ Ayyappa Swamy Songs.wav",b927fcc0789a4ec0bb9ef7cccf30c05c,Devotional,7,350.0,400.0,50,52,0.10729130396935933,0.07027112708948464,0.09418921,0.047354013,2093.8675052526655,683.7494209759537,2077.5104290991303,400.51065738438814,4089.4541790890494,1341.7468031022265,23.151629185652403,4.90745276579464,17.91105392849007,5.116232016471283,19.84859813307592,4.508609268523297,19.07145114425929,3.6422897928822313,19.236264934778863,3.1007933293942944,22.161279866083397,5.206747908094168,21.932955652883223,3.9569891826868084,-165.50594,77.265564,97.45322,29.995317,-31.445635,18.4524,35.492035,21.893438,8.538152,17.146017,3.7736926,13.384027,-7.3465533,10.33017,1.6489873,13.812137,-14.472612,13.046396,0.502872,10.403659,0.26942784,10.857415,-4.121819,9.698478,-2.6802557,8.778635,35.07334,22.14825
"Makara Divya Jyothi ｜ Narasimha Nayak, K.J Yesudas, Dr.Rajkumar, Veeramani Raju｜ Ayyappa Swamy Songs.wav",b927fcc0789a4ec0bb9ef7cccf30c05c,Devotional,8,400.0,450.0,50,52,0.04351347601845404,0.07004836371418756,0.05612782,0.075042844,813.5929426082255,1096.0679487087673,794.4295450759415,1000.4204780190594,1541.1985264515147,2039.2734210369024,18.10904156962454,4.998860941031126,15.63755545463533,2.951658462313901,17.01184290285786,4.049232298527082,16.280472502435146,2.9928053339032346,16.451921080583627,2.9525374787436074,17.208549126705456,3.932135978391504,17.137036506997628,3.7309756318426555,-377.636,224.24374,43.289364,57.31632,-12.985594,21.272116,11.97427,19.419144,-2.3939028,10.091345,0.13842107,6.943194,-2.41014,8.738106,1.6231344,6.8331914,-3.926017,7.9342923,0.20346956,5.338673,0.754022,6.5241833,0.18764086,4.4182286,-1.699955,5.3475804,21.591265,29.826668
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,0,0.0,50.0,50,52,0.12690846789403434,0.0537604115447751,0.104312494,0.053548988,2149.944342974697,567.6797119019174,1745.4440750957513,351.8748891048495,3754.829802021675,956.7365717173207,17.369290713675646,5.867553363215678,17.380457564978595,6.067290473151356,24.423184789137984,5.602496615801806,23.224197319490166,4.61831762124798,22.663112447575063,4.130076221328683,25.07532975224835,4.630600708037021,22.934319305437114,3.8483609874238245,-202.23131,109.46218,75.66479,34.360275,-58.540848,21.391592,25.480822,24.036577,-24.754976,20.936888,-3.8979025,15.090233,-8.062391,12.116161,-5.4988947,15.943841,-11.782346,11.029365,-3.7904594,12.054799,-9.584823,11.141072,-6.1536794,13.212711,-3.5066974,14.446182,41.105747,26.669128
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,1,50.0,100.0,50,52,0.10426459493964717,0.054746396504122906,0.16132997,0.05088234,1895.1179472028123,471.8835430149655,1682.9091125195275,219.84150466339963,3501.114886185585,697.3013302259441,21.584115268196346,4.67391574831149,17.241540124395275,5.539740523794135,22.447841608533636,4.8313478225482,21.563187177205535,4.5028794060486925,20.06964946666164,4.020502588788496,25.376527804154012,4.232112761859068,23.2418932741463,3.4554321451785044,-132.67836,55.32773,108.546104,28.554506,-53.570087,19.129307,38.694725,19.156485,-17.532513,16.666952,-0.90269876,13.89688,1.0242529,12.799213,-4.4043884,11.251203,-11.308958,12.708012,4.4454527,12.431582,-10.238702,12.1731615,-1.4164352,12.664004,-3.556513,11.967171,66.432274,33.60128
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,2,100.0,150.0,50,52,0.14077007892293408,0.07509682355243764,0.15656249,0.046715554,2179.416182069223,584.2033568427618,1742.4467115958291,203.8889162623432,3855.9378876327473,749.5487325067123,21.575441245520615,4.959096360714332,14.746140899556503,4.786297843304516,22.331655873134245,4.8392344010338615,21.57040992050059,4.603043431368699,20.266903869220872,3.982396423805596,25.38731881546365,4.074911729443635,23.923866216069722,3.505863152748369,-116.29787,49.430244,96.295425,32.311237,-57.087532,17.323786,39.632973,17.495361,-21.994703,15.268272,4.1620717,13.880559,0.55689985,11.866792,-1.0070937,12.052705,-10.956459,12.271719,2.001586,12.89967,-11.600267,11.861376,-1.395243,13.27828,-1.7040614,11.5844145,66.34959,30.553345
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,3,150.0,200.0,50,52,0.12038853042305014,0.047527821522355046,0.16105054,0.04823994,2049.5844111382767,422.7962653229185,1730.2198995124504,209.23224381627148,3721.1454343662954,649.802252539317,21.866455805488034,4.758808131749802,15.2213916952717,4.994545146567761,23.108527853696966,4.703838431380011,21.915663793552945,4.247837896899564,20.985179769800975,4.116454824966738,24.52538587283436,3.6846819860950406,23.092205924248617,2.99851175053846,-113.63164,51.34297,100.25515,25.822798,-57.33609,17.481035,34.262287,15.299966,-18.751831,14.997601,6.435778,12.491718,-3.2285283,10.311836,-5.257817,9.752714,-8.36094,10.07468,3.7408087,12.012515,-10.845049,11.295915,-3.3273203,10.735787,-1.7637941,12.056133,69.74815,30.032984
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,4,200.0,250.0,50,52,0.1340477110172934,0.07580013358349869,0.15231955,0.044473972,2154.8267444850353,585.6952296188517,1737.6980631730657,215.51370739110692,3816.6302949273154,794.4785541577069,21.638940947801146,4.667812312256327,15.10923837478192,4.948475887817176,21.941066878252244,4.802079689691692,21.183630341748227,4.413951215877398,19.75442785461791,3.8400450483554236,24.59483962823544,3.835674549988983,23.27984684728887,3.342215558621289,-116.48975,51.956665,96.85669,31.233341,-56.078312,18.737747,41.351868,17.429752,-21.808458,16.849844,1.6998637,13.876738,-1.6381893,12.509359,-3.6337464,11.866247,-10.433196,11.054842,1.0986599,11.050401,-8.871092,12.795035,-1.0382154,13.169843,-2.2329917,11.4948635,66.664246,28.642668
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,5,250.0,300.0,50,52,0.0893788173891597,0.04024057954342504,0.14309846,0.04681147,1749.3547114861165,362.02450672691907,1677.272230671291,215.12153709459804,3386.031211916783,615.2438671587345,22.155928866957108,4.698411388026598,17.91163679392219,5.371019983122328,22.112643669695,4.5714210004293845,20.43643790977591,3.994532131962138,18.89029423169374,3.5756462570366234,24.258759843283826,3.962454051665735,22.667469456127197,3.1126645330309577,-139.70158,49.77587,119.34201,21.227137,-50.471832,18.661386,39.073383,16.958702,-16.806366,15.728399,0.49763033,11.437234,-0.0108145,10.661021,-4.916985,9.81733,-12.721996,9.431777,2.4047196,9.045652,-10.83535,10.36586,-3.4604669,9.611734,-5.365487,9.159732,62.206158,30.730782
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,6,300.0,350.0,50,52,0.10883390095461931,0.0713666072695725,0.012949761,0.008322126,2051.836455448352,1004.4721989391361,2164.139058531802,882.192038085091,3998.69782599234,2483.846452304888,14.110761571106238,4.422092860147983,16.283728336921534,4.613461010761289,18.812124678821707,3.9649349578553745,22.897890513336794,4.8918106050860475,27.503917226263848,6.936466779234558,26.00884650911509,5.700010775241568,20.740852439174006,4.074256501930262,-433.48212,107.72122,100.11057,46.281364,10.913427,54.48397,-20.341896,42.16199,-5.1948256,25.977129,10.224996,23.268606,-4.546816,26.35627,-1.8263469,23.111443,-2.0855567,18.575827,8.257918,17.58029,-4.4188466,14.394558,0.19687317,15.539014,6.0451684,15.037524,5.030102,3.6490142
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,7,350.0,400.0,50,52,0.16589706831766482,0.07718509594847564,0.037387908,0.035806846,2674.717318397408,707.0916652416614,2235.6044548517984,531.9526924998576,4932.478081748346,1541.3166474609454,13.334924872266683,4.045337130232099,15.354321495540779,5.202918087370055,21.805730081333756,4.55837566967109,22.780032383648983,4.315467123435024,24.224318082292754,4.890579799488971,25.970596824230743,4.153921439812133,23.527141941048274,3.9193784346329315,-299.57196,102.17441,65.81029,29.440441,-26.602947,47.51699,12.350392,28.615938,-20.59765,25.086855,4.9256163,16.341843,-5.513329,17.187092,-1.7209554,15.472099,-9.667154,12.94881,-7.3036084,16.37445,-10.095264,14.1261635,-2.9729047,12.975487,4.7112675,14.059019,15.509754,14.94343
S.Janaki Kannada Devotional Songs ｜ Bhakthi Sangama Vol 1 ｜ S Janaki Kannada Bhakthi Geethegalu.wav,49d2af545043463bbc8b6f01f470a007,Devotional,8,400.0,450.0,50,52,0.06730324577820335,0.09464227839027452,0.005091227,0.007944879,1160.2985815378256,1515.1895242112967,1002.3044635712367,1277.2100815036977,2232.3553653812673,2952.335776839377,15.785022929580066,3.6106001522587916,16.07377102558332,3.760117814814695,19.08906925788021,3.040633578805653,19.40921492608568,3.104616818165214,20.403837414290965,4.732345637718247,20.860665406925378,4.782539812745362,19.702164454435625,3.3186006450611663,-627.8486,214.0746,29.590303,42.0134,-1.600822,34.369793,-2.952523,24.944319,-7.1982007,20.42766,3.799171,15.946454,-0.87057346,12.920544,-1.0860761,12.332747,-6.246822,12.681523,1.7561023,11.214941,-2.458331,9.512605,-0.31144255,9.73103,3.9253316,12.533634,2.3101218,3.5173936
"Yaaru Enu Thiladarenu ｜ Ayyappa Swamy ｜ Dr. Rajkumar, Raghavendra Rajkumar ｜ Ayyappa Bhakti Songs.wav",a162a9c001514884b5f501fcaf2a34bd,Devotional,0,0.0,50.0,50,52,0.1828320856545961,0.13339886142104332,0.050997768,0.035089184,2879.8123094510283,1192.698344700291,2423.30157757268,557.6572840889797,5540.736087384662,2199.3053545446232,22.921855412193757,7.194602289828803,20.46515099740302,5.484391044311545,23.00329543971965,5.190222932533261,20.169562381443086,3.960047568465123,19.92860461162781,2.913223973684064,24.54920241065547,4.228755420571651,27.027236043884866,3.9126206881220567,-238.47418,83.213196,60.61227,47.29257,-35.474392,22.328192,-11.93573,23.45423,9.074324,20.478348,-5.7508793,16.555548,-28.954687,17.555586,11.672571,14.36419,-37.088207,16.253504,3.1007717,14.270984,-5.0584025,14.042453,-6.3492937,11.309874,-7.3963785,9.781631,20.988977,16.835785
"Yaaru Enu Thiladarenu ｜ Ayyappa Swamy ｜ Dr. Rajkumar, Raghavendra Rajkumar ｜ Ayyappa Bhakti Songs.wav",a162a9c001514884b5f501fcaf2a34bd,Devotional,1,50.0,100.0,50,52,0.13345152731836118,0.055510880257517395,0.08140555,0.032030616,2269.208098471213,677.2120161110686,2068.7086914564684,465.2628800763542,4066.446441395369,1682.2165446354234,21.31984365946648,5.5308932087759795,17.74335330048433,4.715595493073283,21.577917643320962,5.277143443883839,20.451234125749636,4.542101857858575,21.986255103758904,4.414923326074074,23.66032872972235,5.41266372122323,23.00701275015542,3.7833208015136526,-180.45888,70.54751,93.210686,36.03243,-45.19558,29.23958,-9.279027,26.060217,8.215854,24.347094,-2.6785882,13.661579,-27.677523,16.282995,13.665716,16.30986,-20.432028,15.410534,0.95255965,11.746428,2.6954243,13.041742,-5.5061593,13.059931,-5.1790147,11.276241,35.670986,18.643593
"Yaaru Enu Thiladarenu ｜ Ayyappa Swamy ｜ Dr. Rajkumar, Raghavendra Rajkumar ｜ Ayyappa Bhakti Songs.wav",a162a9c001514884b5f501fcaf2a34bd,Devotional,2,100.0,150.0,50,52,0.12703835886722378,0.0562082879271781,0.082541086,0.032902204,2316.428373499867,665.3643044785844,2171.173673373112,403.7868139451717,4296.013979260968,1581.0794656035453,22.11191254637375,5.210636528275061,18.677727329246746,4.82799672558107,20.529729854967997,4.9599485050121555,18.766054670466637,4.30681130857332,20.262088411103566,4.451257014558586,23.32206369722367,5.579465764540504,22.614377019401037,3.7913460863521937,-167.68411,70.51624,94.093155,37.9548,-34.27258,19.890049,4.3967366,21.36856,13.046355,26.189281,-6.863688,13.270894,-26.091494,17.3606,11.602105,15.719756,-25.450602,15.750338,-0.6495784,12.745714,1.3487507,15.736975,-8.471881,10.254366,-5.29622,11.144872,37.84815,19.31976
"Yaaru Enu Thiladarenu ｜ Ayyappa Swamy ｜ Dr. Rajkumar, Raghavendra Rajkumar ｜ Ayyappa Bhakti Songs.wav",a162a9c001514884b5f501fcaf2a34bd,Devotional,3,150.0,200.0,50,52,0.13935623948177808,0.06524593206390576,0.09047667,0.035362605,2433.1717945758896,699.7937593678121,2229.2055233635997,454.1489373869522,4553.92257137883,1644.541811451415,22.200398887542736,5.205158685245793,17.87297780172498,4.64972333286176,21.060920570178045,4.738303432852337,20.640639017947628,5.013783614483064,20.83380310571548,4.441121645488628,24.355822454965928,5.9027628302706665,21.233056856139367,3.545221536084717,-164.33328,66.13193,87.56942,35.034927,-31.297993,25.77292,-0.3885021,26.167688,2.9887109,25.591972,-7.866228,15.415713,-14.219174,17.360464,11.545896,14.587295,-24.230957,18.160442,1.2418418,13.556904,0.30960754,17.772114,-6.556313,13.028413,2.5366993,13.456745,40.03587,20.049992
"Yaaru Enu Thiladarenu ｜ Ayyappa Swamy ｜ Dr. Rajkumar, Raghavendra Rajkumar ｜ Ayyappa Bhakti Songs.wav",a162a9c001514884b5f501fcaf2a34bd,Devotional,4,200.0,250.0,50,52,0.11699935077181987,0.052708845861862696,0.0829821,0.032410763,2233.863592279358,703.519714168619,2247.1734777910006,442.939850868555,4308.105162724147,1783.3822073909105,22.57893883086653,4.910540142717974,17.305036846335735,4.525800800137796,19.653168683413167,4.453593123539852,17.976622321764413,3.6991123473253067,18.87871661581875,3.2382820116663256,23.486742179391058,5.803408441308263,22.348047821565682,3.666529660384023,-157.86026,65.76169,103.77343,33.707935,-27.756062,18.652016,-3.0726292,19.343103,16.096754,22.827337,-9.002633,12.425953,-26.249247,14.320932,11.560033,16.133009,-25.534079,15.197077,0.3643007,11.082771,0.74906987,11.78347,-6.7719717,10.934248,-4.4185643,12.224088,38.510445,19.367027
